"","MLOC_ID","glide","pool","riffle","run","total","riffle_pct","riffle_run_pct"
"1","1993SBOIA001",96,4,0,0,100,0,0
"2","1993SBOIA002",100,0,0,0,100,0,0
"3","1993SBOIA003",10,50,0,0,60,0,0
"4","1993SBOIA005",445,15,0,0,460,0,0
"5","1993SBOIA006",260,0,0,0,260,0,0
"6","1993SBOIA007",122,18,0,0,140,0,0
"7","1993SBOIA008",65,85,0,0,150,0,0
"8","1993SBOIA009",150,0,0,0,150,0,0
"9","1993SBOIA010",109,31,0,0,140,0,0
"10","1993SBOIA011",90,30,0,0,120,0,0
"11","1993SBOIA012",340,20,0,0,360,0,0
"12","1993SBOIA013",236,24,0,0,260,0,0
"13","1993SBOIA014",100,0,0,0,100,0,0
"14","1993SBOIA015",150,0,0,0,150,0,0
"15","1993SBOIA016",195,5,0,0,200,0,0
"16","1993SBOIA017",70,30,0,0,100,0,0
"17","1993SBOIA018",93,67,0,0,160,0,0
"18","1993SBOIA019",104,36,0,0,140,0,0
"19","1993SBOIA020",86,14,0,0,100,0,0
"20","1993SBOIA021",108,32,0,0,140,0,0
"21","1993SBOIA022",22,78,0,0,100,0,0
"22","1993SBOIA023",55,261,0,0,316,0,0
"23","1993SBOIA024",0,0,0,0,0,NA,NA
"24","1993SBOIA025",60,40,0,0,100,0,0
"25","1993SBOIA026",368,32,0,0,400,0,0
"26","1993SBOIA027",238,2,0,0,240,0,0
"27","1993SBOIA028",42,58,0,0,100,0,0
"28","1993SBOIA029",98,2,0,0,100,0,0
"29","1993SBOIA030",100,0,0,0,100,0,0
"30","1993SBOIA031",0,0,0,0,0,NA,NA
"31","1993SBOIA032",100,0,0,0,100,0,0
"32","1993SBOIA033",60,40,0,0,100,0,0
"33","1993SBOIA034",274,6,0,0,280,0,0
"34","1993SBOIA035",150,0,0,0,150,0,0
"35","1993SBOIA036",124,0,0,0,124,0,0
"36","1993SBOIA037",240,0,0,0,240,0,0
"37","1993SBOIA038",0,0,0,0,0,NA,NA
"38","1993SBOIA039",160,0,0,0,160,0,0
"39","1993SBOIA040",159,15,0,0,174,0,0
"40","1993SBOIA041",107,13,0,0,120,0,0
"41","1993SBOIA042",100,0,0,0,100,0,0
"42","1993SBOIA043",100,0,0,0,100,0,0
"43","1993SBOIA044",53,47,0,0,100,0,0
"44","1993SBOIA045",53,47,0,0,100,0,0
"45","1993SBOIA046",100,0,0,0,100,0,0
"46","1993SBOIA047",100,0,0,0,100,0,0
"47","1993SBOIA048",130,8,0,0,138,0,0
"48","1993SBOIA049",93,7,0,0,100,0,0
"49","1993SBOIA050",71,44,0,0,115,0,0
"50","1993SBOIA051",53,47,0,0,100,0,0
"51","1993SBOIA052",96,14,0,0,110,0,0
"52","1993SBOIA053",0,100,0,0,100,0,0
"53","1993SBOIA054",62,146,0,0,208,0,0
"54","1993SBOIA055",60,120,0,0,180,0,0
"55","1993SIDFA012",164,0,0,0,164,0,0
"56","1993SIDFA013",200,0,0,0,200,0,0
"57","1993SIDFA014",109,0,0,0,109,0,0
"58","1993SIDFA015",2,18,0,0,20,0,0
"59","1993SIDFA016",93,0,0,0,93,0,0
"60","1993SIDFA017",73,0,0,0,73,0,0
"61","1993SIDFA018",164,0,0,0,164,0,0
"62","1993SIDFA019",100,0,0,0,100,0,0
"63","1993SIDFA020",0,0,0,0,0,NA,NA
"64","1993SIDFA021",0,0,0,0,0,NA,NA
"65","1993SIDFA022",52,0,0,0,52,0,0
"66","1993SIDFA023",55,0,0,0,55,0,0
"67","1993SIDFA024",86,0,0,0,86,0,0
"68","1993SIDFA025",85,0,0,0,85,0,0
"69","1993SIDFA026",10,0,0,0,10,0,0
"70","1993SIDFA027",100,0,0,0,100,0,0
"71","1993SIDFA028",100,0,0,0,100,0,0
"72","1993SIDFA029",100,0,0,0,100,0,0
"73","1993SIDFA030",0,0,0,0,0,NA,NA
"74","1993SIDFA031",0,0,0,0,0,NA,NA
"75","1993SIDFA032",124,0,0,0,124,0,0
"76","1993SIDFA033",100,0,0,0,100,0,0
"77","1993SIDFA034",88,0,0,0,88,0,0
"78","1993SIDFA035",80,0,0,0,80,0,0
"79","1993SIDFA036",138,0,0,0,138,0,0
"80","1993SIDFA037",266,0,0,0,266,0,0
"81","1993SIDFA038",108,0,0,0,108,0,0
"82","1993SIDFA039",242,0,0,0,242,0,0
"83","1993SIDFA040",81,0,0,0,81,0,0
"84","1993SIDFA041",210,0,0,0,210,0,0
"85","1993SIDFA042",172,0,0,0,172,0,0
"86","1993SIDFA043",100,0,0,0,100,0,0
"87","1993SIDFA044",50,0,0,0,50,0,0
"88","1993SIDFA045",100,0,0,0,100,0,0
"89","1993SIDFA046",100,0,0,0,100,0,0
"90","1993SIDFA047",100,0,0,0,100,0,0
"91","1993SIDFA048",100,0,0,0,100,0,0
"92","1993SPOCA001",21,18,0,102,141,0,72.3404255319149
"93","1993SPOCA002",100,0,0,0,100,0,0
"94","1993SPOCA003",100,0,0,0,100,0,0
"95","1993SPOCA004",118,0,0,0,118,0,0
"96","1993SPOCA005",100,0,0,0,100,0,0
"97","1993SPOCA006",118,0,0,0,118,0,0
"98","1993SPOCA007",0,0,100,0,100,100,100
"99","1993SPOCA008",127,0,0,0,127,0,0
"100","1993SPOCA009",97,3,0,0,100,0,0
"101","1993SPOCA010",95,3,0,0,98,0,0
"102","1993SPOCA011",15,0,0,85,100,0,85
"103","1993STWFA001",0,0,0,0,0,NA,NA
"104","1993STWFA002",0,0,0,0,0,NA,NA
"105","1993STWFA003",132,16,0,0,148,0,0
"106","1993STWFA005",0,0,0,0,0,NA,NA
"107","1993STWFA006",30,20,0,0,50,0,0
"108","1993STWFA007",69,1,0,0,70,0,0
"109","1993STWFA009",0,12,0,0,12,0,0
"110","1993STWFA010",0,0,0,0,0,NA,NA
"111","1993STWFA011",0,0,0,0,0,NA,NA
"112","1993STWFA012",204,68,0,0,272,0,0
"113","1993STWFA013",10,8,0,0,18,0,0
"114","1993STWFA014",140,0,0,0,140,0,0
"115","1993STWFA015",0,0,0,0,0,NA,NA
"116","1993STWFA017",0,0,0,0,0,NA,NA
"117","1993STWFA018",76,0,0,0,76,0,0
"118","1993STWFA019",260,0,0,0,260,0,0
"119","1993STWFA020",335,18,0,0,353,0,0
"120","1993STWFA021",39,40,0,0,79,0,0
"121","1993STWFA022",229,85,0,0,314,0,0
"122","1993STWFA023",60,15,0,0,75,0,0
"123","1993STWFA024",115,68,0,0,183,0,0
"124","1993STWFA025",20,46,0,0,66,0,0
"125","1993STWFA026",0,0,0,0,0,NA,NA
"126","1993STWFA027",192,16,0,0,208,0,0
"127","1993STWFA028",40,31,0,46,117,0,39.3162393162393
"128","1993STWFA030",80,56,0,0,136,0,0
"129","1993STWFA032",119,1,0,0,120,0,0
"130","1993STWFA033",37,38,0,0,75,0,0
"131","1993STWFA034",65,30,0,0,95,0,0
"132","1993STWFA035",32,14,0,0,46,0,0
"133","1993STWFA036",18,12,0,0,30,0,0
"134","1993STWFA037",70,10,0,0,80,0,0
"135","1993STWFA038",78,32,0,0,110,0,0
"136","1993STWFA039",175,0,0,0,175,0,0
"137","1993STWFA040",162,12,0,0,174,0,0
"138","1993STWFA041",140,50,0,0,190,0,0
"139","1993STWFA042",94,10,0,0,104,0,0
"140","1993STWFA045",45,27,0,0,72,0,0
"141","1994SBOIA001",60,40,0,0,100,0,0
"142","1994SBOIA002",85,15,0,0,100,0,0
"143","1994SBOIA003",15,85,0,0,100,0,0
"144","1994SBOIA004",45,55,0,0,100,0,0
"145","1994SBOIA005",30,70,0,0,100,0,0
"146","1994SBOIA006",90,10,0,0,100,0,0
"147","1994SBOIA007",60,40,0,0,100,0,0
"148","1994SBOIA008",35,65,0,0,100,0,0
"149","1994SBOIA009",30,70,0,0,100,0,0
"150","1994SBOIA010",100,70,0,0,170,0,0
"151","1994SBOIA011",15,66,0,0,81,0,0
"152","1994SBOIA012",55,57,0,0,112,0,0
"153","1994SBOIA013",20,110,0,0,130,0,0
"154","1994SBOIA014",30,50,0,0,80,0,0
"155","1994SBOIA015",54,0,0,0,54,0,0
"156","1994SBOIA017",100,0,0,0,100,0,0
"157","1994SBOIA018",98,2,0,0,100,0,0
"158","1994SBOIA019",83,0,0,0,83,0,0
"159","1994SBOIA020",41,16,0,0,57,0,0
"160","1994SBOIA021",20,80,0,0,100,0,0
"161","1994SBOIA022",68,0,0,0,68,0,0
"162","1994SBOIA023",58,2,0,0,60,0,0
"163","1994SBOIA024",50,17,0,0,67,0,0
"164","1994SBOIA025",65,0,0,0,65,0,0
"165","1994SBOIA026",80,10,0,0,90,0,0
"166","1994SBOIA027",90,2,0,0,92,0,0
"167","1994SBOIA028",83,0,0,0,83,0,0
"168","1994SBOIA029",67,16,0,0,83,0,0
"169","1994SBOIA030",34,13,0,0,47,0,0
"170","1994SBOIA031",26,6,0,0,32,0,0
"171","1994SBOIA032",39,38,0,0,77,0,0
"172","1994SBOIA033",95,0,0,5,100,0,5
"173","1994SBOIA034",56,32,0,0,88,0,0
"174","1994SBOIA035",90,8,0,0,98,0,0
