scientificName,agency,project,relyea_order,relyea_site_count,relyea_taxa_FSBI,relyea_sensitivity_score,source,relyea_note
Epeorus,BLM,AIM PIBO OE,E,949,10,moderately fine sediment sensitive,Relyea et al. 2012 Table 2,
Epeorus,BLM,AIM WW OE,E,949,10,moderately fine sediment sensitive,Relyea et al. 2012 Table 2,
Epeorus,USFS,PIBO,E,949,10,moderately fine sediment sensitive,Relyea et al. 2012 Table 2,
Rhithrogena,BLM,AIM PIBO OE,E,561,15,very fine sediment sensitive,Relyea et al. 2012 Table 2,
Rhithrogena,BLM,AIM WW OE,E,561,15,very fine sediment sensitive,Relyea et al. 2012 Table 2,
Rhithrogena,USFS,PIBO,E,561,15,very fine sediment sensitive,Relyea et al. 2012 Table 2,
Rhyacophila angelita group,BLM,AIM PIBO OE,T,114,15,very fine sediment sensitive,Relyea et al. 2012 Table 2,
Rhyacophila angelita group,BLM,AIM WW OE,T,114,15,very fine sediment sensitive,Relyea et al. 2012 Table 2,
Rhyacophila angelita group,USFS,PIBO,T,114,15,very fine sediment sensitive,Relyea et al. 2012 Table 2,
Rhyacophila hyalinata group,BLM,AIM PIBO OE,T,123,20,extremely fine sediment sensitive,Relyea et al. 2012 Table 2,
Rhyacophila hyalinata group,BLM,AIM WW OE,T,123,20,extremely fine sediment sensitive,Relyea et al. 2012 Table 2,
Rhyacophila hyalinata group,USFS,PIBO,T,123,20,extremely fine sediment sensitive,Relyea et al. 2012 Table 2,
Rhyacophila verrula group,BLM,AIM PIBO OE,T,66,5,slightly fine sediment sensitive,Relyea et al. 2012 Table 2,
Rhyacophila verrula group,BLM,AIM WW OE,T,66,5,slightly fine sediment sensitive,Relyea et al. 2012 Table 2,
Rhyacophila verrula group,USFS,PIBO,T,66,5,slightly fine sediment sensitive,Relyea et al. 2012 Table 2,
Rhyacophila vofixa group,BLM,AIM PIBO OE,T,91,15,very fine sediment sensitive,Relyea et al. 2012 Table 2,
Rhyacophila vofixa group,BLM,AIM WW OE,T,91,15,very fine sediment sensitive,Relyea et al. 2012 Table 2,
Rhyacophila vofixa group,USFS,PIBO,T,91,15,very fine sediment sensitive,Relyea et al. 2012 Table 2,
Zapada oregonensis group,BLM,AIM PIBO OE,P,153,5,slightly fine sediment sensitive,Relyea et al. 2012 Table 2,
Zapada oregonensis group,BLM,AIM WW OE,P,153,5,slightly fine sediment sensitive,Relyea et al. 2012 Table 2,
Zapada oregonensis group,USFS,PIBO,P,153,5,slightly fine sediment sensitive,Relyea et al. 2012 Table 2,
Ordobrevia nubifer,BLM,AIM PIBO OE,C,42,10,moderately fine sediment sensitive,Relyea et al. 2012 Table 2,
Ordobrevia nubifer,BLM,AIM WW OE,C,42,10,moderately fine sediment sensitive,Relyea et al. 2012 Table 2,
Ordobrevia nubifer,USFS,PIBO,C,42,10,moderately fine sediment sensitive,Relyea et al. 2012 Table 2,
