"","SiteID","RchID","SampDate","Yr"
"1",73,87,2002-06-07,2002
"2",73,3619,2007-06-17,2007
"3",73,6518,2012-06-25,2012
"4",73,9574,2017-06-18,2017
"5",75,90,2001-08-15,2001
"6",75,91,2002-07-16,2002
"7",75,92,2004-07-01,2004
"8",75,93,2003-06-22,2003
"9",75,1781,2005-07-13,2005
"10",75,2132,2006-06-29,2006
"11",75,4014,2007-08-24,2007
"12",75,4084,2008-06-25,2008
"13",75,4795,2009-06-27,2009
"14",75,5337,2010-06-23,2010
"15",75,5945,2011-07-09,2011
"16",75,6520,2012-07-21,2012
"17",75,8424,2015-07-18,2015
"18",75,11104,2020-09-02,2020
"19",76,95,2002-06-07,2002
"20",76,97,2001-08-14,2001
"21",76,98,2004-06-29,2004
"22",76,99,2003-06-21,2003
"23",76,1783,2005-06-17,2005
"24",76,2133,2006-06-30,2006
"25",76,4012,2007-08-24,2007
"26",76,4085,2008-06-27,2008
"27",76,4796,2009-06-28,2009
"28",76,5339,2010-06-23,2010
"29",76,5946,2011-07-08,2011
"30",76,6521,2012-06-23,2012
"31",76,8425,2015-06-13,2015
"32",78,101,2001-08-16,2001
"33",78,2135,2006-08-24,2006
"34",78,5948,2011-08-19,2011
"35",78,9022,2016-08-10,2016
"36",79,102,2001-08-18,2001
"37",79,2137,2006-08-11,2006
"38",79,5949,2011-08-09,2011
"39",79,9023,2016-08-13,2016
"40",80,103,2001-08-19,2001
"41",80,2138,2006-08-12,2006
"42",80,5950,2011-08-16,2011
"43",80,9024,2016-08-13,2016
"44",82,105,2002-06-06,2002
"45",82,3627,2007-06-16,2007
"46",82,6522,2012-06-24,2012
"47",82,9576,2017-06-18,2017
"48",83,106,2002-06-06,2002
"49",83,3623,2007-06-15,2007
"50",83,6523,2012-06-19,2012
"51",83,9577,2017-06-16,2017
"52",84,107,2002-06-10,2002
"53",84,3628,2007-06-12,2007
"54",84,6524,2012-06-20,2012
"55",84,9578,2017-06-15,2017
"56",85,108,2001-08-23,2001
"57",85,2144,2006-07-16,2006
"58",85,5956,2011-07-25,2011
"59",85,9025,2016-08-15,2016
"60",86,109,2001-08-21,2001
"61",86,2147,2006-07-17,2006
"62",86,5959,2011-08-07,2011
"63",86,9026,2016-08-14,2016
"64",87,110,2003-06-21,2003
"65",87,4086,2008-06-26,2008
"66",87,7288,2013-07-02,2013
"67",87,9997,2018-07-02,2018
"68",88,111,2003-06-20,2003
"69",88,4087,2008-06-24,2008
"70",88,7289,2013-07-02,2013
"71",88,9998,2018-06-15,2018
"72",89,112,2004-07-01,2004
"73",89,113,2003-06-21,2003
"74",89,2148,2006-06-27,2006
"75",89,3630,2007-07-01,2007
"76",89,4088,2008-06-28,2008
"77",89,4797,2009-06-25,2009
"78",89,5670,2010-07-07,2010
"79",89,5960,2011-07-07,2011
"80",89,6525,2012-07-09,2012
"81",89,7290,2013-07-05,2013
"82",89,10392,2018-06-29,2018
"83",90,114,2003-06-23,2003
"84",90,4089,2008-06-29,2008
"85",90,7291,2013-07-06,2013
"86",90,10000,2018-06-28,2018
"87",91,115,2003-06-21,2003
"88",91,4090,2008-07-07,2008
"89",91,7292,2013-07-07,2013
"90",91,10001,2018-06-18,2018
"91",92,116,2003-06-19,2003
"92",92,4091,2008-06-27,2008
"93",92,7293,2013-07-04,2013
"94",92,10002,2018-07-01,2018
"95",93,117,2003-06-19,2003
"96",93,4092,2008-06-28,2008
"97",93,10003,2018-06-17,2018
"98",94,118,2003-06-17,2003
"99",94,4093,2008-06-17,2008
"100",94,7295,2013-06-24,2013
"101",94,10004,2018-06-13,2018
"102",95,119,2003-06-20,2003
"103",95,4094,2008-07-09,2008
"104",95,10005,2018-06-12,2018
"105",96,120,2003-06-19,2003
"106",96,4095,2008-07-10,2008
"107",96,7297,2013-06-25,2013
"108",96,10006,2018-06-13,2018
"109",97,121,2003-06-22,2003
"110",97,4096,2008-06-28,2008
"111",97,7298,2013-06-20,2013
"112",97,10007,2018-06-16,2018
"113",98,122,2003-06-17,2003
"114",98,4097,2008-06-17,2008
"115",98,7299,2013-06-22,2013
"116",98,10008,2018-06-12,2018
"117",99,123,2003-06-18,2003
"118",99,4098,2008-06-29,2008
"119",99,7300,2013-06-18,2013
"120",99,10009,2018-06-15,2018
"121",100,124,2003-06-18,2003
"122",100,4099,2008-07-09,2008
"123",100,7301,2013-06-23,2013
"124",100,10010,2018-06-14,2018
"125",101,125,2002-06-23,2002
"126",101,3631,2007-06-19,2007
"127",101,6526,2012-06-19,2012
"128",101,9579,2017-06-15,2017
"129",102,126,2002-06-24,2002
"130",102,3633,2007-06-16,2007
"131",102,6527,2012-06-20,2012
"132",102,9580,2017-06-18,2017
"133",103,127,2002-06-25,2002
"134",103,3632,2007-06-29,2007
"135",103,6528,2012-06-22,2012
"136",103,9581,2017-06-30,2017
"137",104,128,2002-07-19,2002
"138",104,3797,2007-07-11,2007
"139",104,6529,2012-08-02,2012
"140",104,9582,2017-07-13,2017
"141",105,129,2002-07-18,2002
"142",105,3872,2007-07-25,2007
"143",105,6530,2012-07-23,2012
"144",105,9583,2017-07-16,2017
"145",111,135,2003-08-12,2003
"146",111,4104,2008-08-21,2008
"147",111,7306,2013-08-13,2013
"148",111,10015,2018-08-10,2018
"149",112,136,2003-08-15,2003
"150",112,4105,2008-08-22,2008
"151",112,7307,2013-08-14,2013
"152",112,11075,2019-08-22,2019
"153",311,384,2004-07-04,2004
"154",311,4886,2009-06-29,2009
"155",311,7952,2014-08-02,2014
"156",311,10604,2019-07-25,2019
"157",312,385,2004-08-01,2004
"158",312,4887,2009-07-24,2009
"159",312,7953,2014-07-30,2014
"160",312,10605,2019-07-27,2019
"161",313,386,2004-08-24,2004
"162",313,4888,2009-07-26,2009
"163",313,7954,2014-07-31,2014
"164",313,10606,2019-07-28,2019
"165",314,387,2004-07-31,2004
"166",314,4889,2009-07-22,2009
"167",314,7955,2014-07-21,2014
"168",314,10607,2019-08-08,2019
"169",315,388,2004-08-26,2004
"170",315,4890,2009-07-25,2009
"171",315,7956,2014-08-01,2014
"172",315,10608,2019-08-08,2019
"173",316,389,2004-07-28,2004
"174",316,4891,2009-07-23,2009
"175",316,7957,2014-07-29,2014
"176",316,10609,2019-07-28,2019
"177",317,390,2004-07-29,2004
"178",317,4892,2009-07-22,2009
"179",317,7958,2014-07-20,2014
"180",317,10610,2019-08-06,2019
"181",318,391,2004-07-27,2004
"182",318,4893,2009-07-14,2009
"183",318,10611,2019-07-26,2019
"184",319,392,2002-06-19,2002
"185",319,3647,2007-06-16,2007
"186",319,6559,2012-06-24,2012
"187",319,9606,2017-06-28,2017
"188",320,393,2002-06-19,2002
"189",320,3648,2007-06-15,2007
"190",320,6560,2012-06-23,2012
"191",320,9607,2017-06-27,2017
"192",322,395,2002-06-24,2002
"193",322,3650,2007-06-18,2007
"194",322,6561,2012-06-22,2012
"195",322,9608,2017-06-19,2017
"196",323,397,2001-07-09,2001
"197",323,2215,2006-07-01,2006
"198",323,6020,2011-06-25,2011
"199",323,9053,2016-06-14,2016
"200",324,398,2001-07-08,2001
"201",324,2216,2006-07-02,2006
"202",324,6021,2011-08-02,2011
"203",324,9054,2016-06-19,2016
"204",325,399,2001-07-05,2001
"205",325,2217,2006-06-18,2006
"206",325,6022,2011-06-21,2011
"207",325,9055,2016-06-14,2016
"208",326,400,2001-07-06,2001
"209",326,2221,2006-06-19,2006
"210",326,6026,2011-06-23,2011
"211",326,9056,2016-06-17,2016
"212",327,401,2001-07-07,2001
"213",327,2223,2006-07-11,2006
"214",327,6028,2011-06-26,2011
"215",327,9057,2016-06-19,2016
"216",329,403,2001-08-17,2001
"217",329,2229,2006-08-29,2006
"218",329,6034,2011-08-18,2011
"219",329,9058,2016-08-26,2016
"220",331,405,2001-08-18,2001
"221",331,2234,2006-08-23,2006
"222",331,6038,2011-09-19,2011
"223",331,9059,2016-08-28,2016
"224",334,408,2002-09-02,2002
"225",334,6562,2012-08-17,2012
"226",334,9609,2017-08-23,2017
"227",335,409,2002-07-20,2002
"228",335,3815,2007-07-14,2007
"229",335,6563,2012-08-15,2012
"230",335,9610,2017-07-19,2017
"231",336,410,2002-07-19,2002
"232",336,3816,2007-07-14,2007
"233",336,9611,2017-07-18,2017
"234",337,3811,2007-07-10,2007
"235",337,6565,2012-09-13,2012
"236",337,9612,2017-07-26,2017
"237",338,412,2002-07-18,2002
"238",338,3818,2007-07-12,2007
"239",338,6566,2012-09-14,2012
"240",338,9613,2017-07-26,2017
"241",340,414,2002-07-20,2002
"242",340,3814,2007-07-15,2007
"243",340,6568,2012-08-15,2012
"244",340,9615,2017-07-19,2017
"245",341,415,2004-08-12,2004
"246",341,4894,2009-06-28,2009
"247",341,7960,2014-07-05,2014
"248",341,10612,2019-07-27,2019
"249",344,418,2004-07-04,2004
"250",344,5119,2009-06-24,2009
"251",344,7961,2014-06-23,2014
"252",344,10613,2019-08-11,2019
"253",345,419,2004-06-29,2004
"254",345,4895,2009-06-25,2009
"255",345,7962,2014-07-06,2014
"256",346,420,2001-08-20,2001
"257",346,5120,2009-06-28,2009
"258",346,7963,2014-07-07,2014
"259",346,10615,2019-07-25,2019
"260",347,421,2004-08-13,2004
"261",347,4896,2009-06-27,2009
"262",347,7964,2014-07-06,2014
"263",347,10616,2019-07-28,2019
"264",348,422,2004-08-15,2004
"265",348,4897,2009-08-04,2009
"266",348,7965,2014-07-07,2014
"267",348,10617,2019-08-10,2019
"268",349,423,2001-08-19,2001
"269",349,2238,2006-08-27,2006
"270",349,4898,2009-08-06,2009
"271",349,7966,2014-08-14,2014
"272",351,425,2004-08-14,2004
"273",351,4900,2009-06-26,2009
"274",351,10618,2019-08-09,2019
"275",352,426,2001-07-08,2001
"276",352,2239,2006-07-18,2006
"277",352,6042,2011-08-07,2011
"278",352,9060,2016-07-03,2016
"279",353,427,2001-07-09,2001
"280",353,2240,2006-07-12,2006
"281",353,6043,2011-07-09,2011
"282",353,9061,2016-06-30,2016
"283",354,428,2001-07-09,2001
"284",354,2241,2006-06-17,2006
"285",354,6044,2011-06-27,2011
"286",354,9062,2016-07-02,2016
"287",355,429,2001-07-06,2001
"288",355,2243,2006-07-15,2006
"289",355,6046,2011-08-06,2011
"290",355,9063,2016-07-17,2016
"291",356,431,2001-07-11,2001
"292",356,432,2002-06-22,2002
"293",356,433,2004-07-02,2004
"294",356,435,2003-06-17,2003
"295",356,1859,2005-06-28,2005
"296",356,2247,2006-06-16,2006
"297",356,4002,2007-08-21,2007
"298",356,4172,2008-06-24,2008
"299",356,4901,2009-06-23,2009
"300",356,5679,2010-06-27,2010
"301",356,6050,2011-07-06,2011
"302",356,6569,2012-08-01,2012
"303",356,9616,2017-07-02,2017
"304",357,436,2002-06-23,2002
"305",357,3613,2007-06-12,2007
"306",357,6570,2012-06-25,2012
"307",358,437,2004-08-14,2004
"308",358,4902,2009-08-11,2009
"309",358,7968,2014-07-30,2014
"310",359,438,2004-08-01,2004
"311",359,4903,2009-08-10,2009
