"","siteid","sitename","stream","source","lat","long","comid","siteclass","order","au","georef_ID305b_cycle","georef_notes","sed_tmdl","l4_code","l4_name","deq_region","blm_ecoregion","basin","huc4code","huc4name","source_sitetype","sampleid","year","sample_date","bankfull_width_m","bankfull_width_category","pct_fine","pct_fine_fraction","sample_FSBI","SMI2","SMI2_benchmark","BURP_sitescore","OE","OE_benchmark","OE_model","framework_fines_ref_benchmark","framework_FSBI_ref_benchmark","framework_SME75_benchmark","blm_fines_ref_benchmark","has_both"
"1","2001SPOCA029","2001SPOCA029","Spring Creek","DEQ BURP",42.824866,42.824866,24482255,"PPBV","2","ID17040207SK015_02",2022,NA,"N","17n","Cold Valleys","POC"," ","Upper Snake",17040207,"Blackfoot","Other","2001SPOCA029","2001",NA,6.21666666666667,"< 10 m",44.07,"< 2.5 mm",70,61,54,1.67,NA,NA,NA,28.3,20,90,NA,"Y"
"2","2017SPOCA055","2017SPOCA055","Home Canyon","DEQ BURP",42.337634,-111.223188,4470337,"PPBV","2","ID16010201BR020_02d",2022,NA,"N","18d","Foothill Shrublands and Low Mountains","POC","EasternXericBasin","Bear River",16010201,"Bear Lake","","2017SPOCA055","2017",NA,2.03333333333333,"< 10 m",18.92,"< 2.5 mm",60,73,54,2.67,NA,NA,NA,28.3,20,90,NA,"Y"
"3","2003SPOCA037","2003SPOCA037","Sheep Creek","DEQ BURP",42.249082,-111.136598,7898913,"PPBV","2","ID16010102BR008_02",2022,NA,"Y","18d","Semiarid Bear Hills","POC","EasternXericBasin","Bear River",16010102,"Central Bear","Stress","2003SPOCA037","2003",NA,2.03333333333333,"< 10 m",99.41,"< 2.5 mm",0,47,54,1,NA,NA,NA,28.3,20,90,NA,"Y"
"4","2017SPOCA056","2017SPOCA056","Montpelier Canyon","DEQ BURP",42.338315,-111.166133,4470347,"PPBV","2","ID16010201BR020_02",2022,NA,"N","18d","Foothill Shrublands and Low Mountains","POC","EasternXericBasin","Bear River",16010201,"Bear Lake","","2017SPOCA056","2017",NA,0.933333333333333,"< 10 m",71.66,"< 2.5 mm",5,53,54,1.33,NA,NA,NA,28.3,20,90,NA,"Y"
"5","2015SPOCA028","2015SPOCA028","Thomas Fork","DEQ BURP",42.369714,-111.057098,7897631,"PPBV","4","ID16010102BR003_04",2022,NA,"Y","18c","Sub-Irrigated High Valleys","POC","EasternXericBasin","Bear River",16010102,"Central Bear","","2015SPOCA028","2015",NA,7.03333333333333,"< 10 m",28.93,"< 2.5 mm",45,61,54,1.67,NA,NA,NA,18.2,20,53,NA,"Y"
"6","2006SPOCA043","2006SPOCA043","Ovid Creek","DEQ BURP",42.29384,-111.412878,4470545,"PPBV","4","ID16010201BR009_04",2022,NA,"Y","18c","Wet Valleys","POC","EasternXericBasin","Bear River",16010201,"Bear Lake","Other","2006SPOCA043","2006",NA,6.7,"< 10 m",78.49,"< 2.5 mm",NA,NA,54,NA,NA,NA,NA,18.2,20,53,NA,"N"
"7","2022SPOCA013","2022SPOCA013","Montpelier Creek","DEQ BURP",42.34055,-111.18959,4470317,"PPBV","4","ID16010201BR020_03a",2022,NA,"N","18d","Foothill Shrublands and Low Mountains","POC","EasternXericBasin","Bear River",16010201,"Bear Lake","","2022SPOCA013","2022",NA,5.66666666666667,"< 10 m",32.11,"< 2.5 mm",NA,NA,54,NA,NA,NA,NA,18.2,20,53,NA,"N"
"8","1995SPOCA033","1995SPOCA033","Thomas Fork","DEQ BURP",42.313935,-111.077914,7897673,"PPBV","4","ID16010102BR003_04",2022,NA,"Y","18c","Wet Valleys","POC","EasternXericBasin","Bear River",16010102,"Central Bear","","1995SPOCA033","1995",NA,9.46666666666667,"< 10 m",72.66,"< 2.5 mm",NA,NA,54,NA,NA,NA,NA,18.2,20,53,NA,"N"
"9","2013SPOCA030","2013SPOCA030","Montpelier Creek","DEQ BURP",42.368524,-111.172783,4470189,"PPBV","3","ID16010201BR020_03a",2022,NA,"N","18d","Foothill Shrublands and Low Mountains","POC","EasternXericBasin","Bear River",16010201,"Bear Lake","","2013SPOCA030","2013",NA,4.16666666666667,"< 10 m",12.43,"< 2.5 mm",40,54,54,2,NA,NA,NA,23.6,20,68,NA,"Y"
"10","2021SPOCA005","2021SPOCA005","Home Canyon","DEQ BURP",42.339514,-111.222388,4470337,"PPBV","2","ID16010201BR020_02d",2022,NA,"N","18d","Foothill Shrublands and Low Mountains","POC","EasternXericBasin","Bear River",16010201,"Bear Lake","","2021SPOCA005","2021",NA,2.26666666666667,"< 10 m",13.5,"< 2.5 mm",75,87,54,2.67,NA,NA,NA,28.3,20,90,NA,"Y"
