"","siteid","sitename","stream","source","lat","long","comid","au","order","georef_ID305b_cycle","georef_notes","sed_tmdl","siteclass","l4_code","l4_name","deq_region","blm_ecoregion","basin","huc4code","huc4name","source_sitetype","AIM_OE_model","AIM_Evaluation_ID"
"1","BN-TR-25429","BN-TR-25429","Mary's Creek","BLM",42.26302178,-115.9483466,23284131,"ID17050102SW016_04","4","2022",NA,"N","PPBV","80a","Dissected High Lava Plateau","BRO","NorthernXericBasin","Southwest",17050102,"Bruneau",NA,"ColumbiaRiverBasin_PIBO","BN-TR-25429_2021-08-08"
"2","BN-TR-27252","BN-TR-27252","Sheep Creek","BLM",42.05216585,-115.9063504,23284239,"ID17050102SW014_03","4","2022",NA,"N","PPBV","80a","Dissected High Lava Plateau","BRO","NorthernXericBasin","Southwest",17050102,"Bruneau",NA,"ColumbiaRiverBasin_PIBO","BN-TR-27252_2021-08-07"
"3","BN-TR-77478","BN-TR-77478","Bull Creek","BLM",42.130339,-115.936788,23284213,"ID17050102SW017_03","3","2022",NA,"N","PPBV","80a","Dissected High Lava Plateau","BRO","NorthernXericBasin","Southwest",17050102,"Bruneau",NA,"ColumbiaRiverBasin_PIBO","BN-TR-77478_2021-08-09"
"4","BO-RV-10024","BO-RV-10024","Big Jacks Creek","BLM",42.585024,-115.99482,23283699,"ID17050102SW004_05","5","2022",NA,"N","PPBV","80a","Dissected High Lava Plateau","BRO","NorthernXericBasin","Southwest",17050102,"Bruneau",NA,"ColumbiaRiverBasin_PIBO","BO-RV-10024_2016-08-21"
"5","BO-SS-10140","BO-SS-10140","Unamed","BLM",42.462054,-116.854847,23317842,"ID17050104SW031_02","1","2022",NA,"Y","PPBV","80j","Semiarid Uplands","BRO","NorthernXericBasin","Southwest",17050104,"Upper Owyhee",NA,"ColumbiaRiverBasin_PIBO","BO-SS-10140_2016-08-19"
"6","BO-SS-10238","BO-SS-10238","West Fork Cold Springs Creek","BLM",43.158916,-115.378007,23276446,"ID17050101SW014_02","2","2022",NA,"N","PPBV","12f","Semiarid Foothills","BRO","NorthernXericBasin","Southwest",17050101,"C. J. Strike Reservoir",NA,"ColumbiaRiverBasin_PIBO","BO-SS-10238_2016-09-26"
"7","BO-SS-10248","BO-SS-10248","Cottonwood Creek","BLM",42.51886,-116.085713,23283787,"ID17050102SW005_02","2","2022",NA,"N","PPBV","80a","Dissected High Lava Plateau","BRO","NorthernXericBasin","Southwest",17050102,"Bruneau","sediment reference","ColumbiaRiverBasin_PIBO","BO-SS-10248_2016-09-02"
"8","BY-LS-1009","BY-LS-1009",NA,"BLM",42.00046236,-113.9202292,23185033,"ID17040211SK009_02","3","2022",NA,"N","PPBV","80a","Dissected High Lava Plateau","TRO","NorthernXericBasin","Upper Snake",17040211,"Goose",NA,"ColumbiaRiverBasin_PIBO","BY-LS-1009_2021-06-23"
"9","BY-LS-1018","BY-LS-1018","Cold Creek","BLM",42.10734819,-113.8906862,23185055,"ID17040211SK005_03","3","2022",NA,"N","PPBV","80b","Semiarid Hills and Low Mountains","TRO","NorthernXericBasin","Upper Snake",17040211,"Goose",NA,"ColumbiaRiverBasin_PIBO","BY-LS-1018_2021-06-25"
"10","BY-LS-1025","BY-LS-1025",NA,"BLM",42.00883013,-113.9464527,23185031,"ID17040211SK009_03","3","2022",NA,"N","PPBV","80a","Dissected High Lava Plateau","TRO","NorthernXericBasin","Upper Snake",17040211,"Goose",NA,"ColumbiaRiverBasin_PIBO","BY-LS-1025_2021-06-22"
