"","sampleId","taxonomyId","scientificName","levelId","levelName","otuName","splitCount"
"1",153066,19,"Oligochaeta",10,"SubClass","Other_Oligochaeta",46
"2",153066,58,"Trombidiformes",13,"Order","Acari",4
"3",153066,63,"Lebertia",23,"Genus","Acari",7
"4",153066,126,"Dubiraphia",23,"Genus","Dubiraphia",2
"5",153066,146,"Zaitzevia parvulua parvula",26,"SubSpecies","Zaitzevia",2
"6",153066,182,"Chironominae",20,"SubFamily","Chironominae",9
"7",153066,184,"Orthocladiinae",20,"SubFamily","Orthocladiinae",34
"8",153066,187,"Tanypodinae",20,"SubFamily","Tanypodinae",4
"9",153066,223,"Simulium",23,"Genus","Simulium",1
"10",153066,241,"Hexatoma",23,"Genus","Hexatoma",9
"11",153066,247,"Tipula",23,"Genus","Tipula",1
"12",153066,250,"Baetis",23,"Genus","Baetis",64
"13",153066,252,"Centroptilum",23,"Genus","Centroptilum",5
"14",153066,307,"Tricorythodes",23,"Genus","Tricorythodes",8
"15",153066,404,"Capniidae",19,"Family","Capniidae",1
"16",153066,469,"Skwala",23,"Genus","Skwala",1
"17",153066,479,"Taeniopteryx",23,"Genus","Taeniopterygidae",1
"18",153066,647,"Pisidium",23,"Genus","Pisidiidae",1
"19",153066,908,"Probezzia",23,"Genus","Ceratopogoninae",6
"20",153066,1103,"Phaenopsectra",23,"Genus","Chironominae",1
"21",153066,1105,"Rheotanytarsus",23,"Genus","Chironominae",1
"22",153066,1108,"Stempellinella",23,"Genus","Chironominae",17
"23",153066,1118,"Corynoneura",23,"Genus","Orthocladiinae",1
"24",153066,1119,"Cricotopus bicinctus group",30,"Species group","Orthocladiinae",2
"25",153066,1122,"Cricotopus trifascia group",25,"Species","Orthocladiinae",2
"26",153066,1127,"Eukiefferiella brehmi group",30,"Species group","Orthocladiinae",1
"27",153066,1150,"Parametriocnemus",23,"Genus","Orthocladiinae",16
"28",153066,1172,"Larsia",23,"Genus","Tanypodinae",1
"29",153066,1176,"Thienemannimyia group",29,"Genus group","Tanypodinae",1
"30",153066,1301,"Polypedilum",23,"Genus","Chironominae",5
"31",153066,1672,"Micropsectra",23,"Genus","Chironominae",2
"32",153066,1685,"Cladotanytarsus",23,"Genus","Chironominae",3
"33",153066,1760,"Radotanypus",23,"Genus","Tanypodinae",2
"34",153066,1986,"Orthocladiini/Metriocnemini",28,"Tribe group","Orthocladiinae",4
"35",153066,2150,"Mideopsis",23,"Genus","Acari",3
"36",153066,2658,"Heterotrissocladius marcidus group",30,"Species group","Orthocladiinae",3
"37",153066,4075,"Eukiefferiella coerulescens group",30,"Species group","Orthocladiinae",2
"38",153066,5757,"Chloroperlinae",20,"SubFamily","Other_Chloroperlidae",27
"39",153067,19,"Oligochaeta",10,"SubClass","Other_Oligochaeta",17
"40",153067,58,"Trombidiformes",13,"Order","Acari",47
"41",153067,63,"Lebertia",23,"Genus","Acari",10
"42",153067,67,"Sperchon",23,"Genus","Acari",2
"43",153067,135,"Optioservus",23,"Genus","Optioservus",2
"44",153067,146,"Zaitzevia parvulua parvula",26,"SubSpecies","Zaitzevia",14
"45",153067,182,"Chironominae",20,"SubFamily","Chironominae",22
"46",153067,184,"Orthocladiinae",20,"SubFamily","Orthocladiinae",56
"47",153067,241,"Hexatoma",23,"Genus","Hexatoma",2
"48",153067,250,"Baetis",23,"Genus","Baetis",3
"49",153067,252,"Centroptilum",23,"Genus","Centroptilum",1
"50",153067,307,"Tricorythodes",23,"Genus","Tricorythodes",14
"51",153067,499,"Hydropsyche",23,"Genus","Hydropsyche",1
"52",153067,847,"Microcylloepus pusillus",25,"Species","Microcylloepus",3
"53",153067,863,"Cricotopus",23,"Genus","Orthocladiinae",11
"54",153067,908,"Probezzia",23,"Genus","Ceratopogoninae",15
"55",153067,932,"Brachycentrus occidentalis",25,"Species","Brachycentrus",10
"56",153067,1076,"Optioservus quadrimaculatus",25,"Species","Optioservus",3
"57",153067,1102,"Paratendipes",23,"Genus","Chironominae",1
"58",153067,1105,"Rheotanytarsus",23,"Genus","Chironominae",3
"59",153067,1107,"Stempellina",23,"Genus","Chironominae",3
"60",153067,1113,"Potthastia gaedii group",30,"Species group","Diamesinae",3
"61",153067,1122,"Cricotopus trifascia group",25,"Species","Orthocladiinae",7
"62",153067,1127,"Eukiefferiella brehmi group",30,"Species group","Orthocladiinae",3
"63",153067,1142,"Lopescladius",23,"Genus","Orthocladiinae",6
"64",153067,1164,"Thienemanniella",23,"Genus","Orthocladiinae",1
"65",153067,1176,"Thienemannimyia group",29,"Genus group","Tanypodinae",1
"66",153067,1294,"Dicrotendipes",23,"Genus","Chironominae",1
"67",153067,1301,"Polypedilum",23,"Genus","Chironominae",2
"68",153067,1306,"Tanytarsus",23,"Genus","Chironominae",6
"69",153067,1675,"Chironomini",21,"Tribe","Chironominae",2
"70",153067,1683,"Parakiefferiella",23,"Genus","Orthocladiinae",2
"71",153067,1685,"Cladotanytarsus",23,"Genus","Chironominae",7
"72",153067,1759,"Cryptotendipes",23,"Genus","Chironominae",2
"73",153067,1986,"Orthocladiini/Metriocnemini",28,"Tribe group","Orthocladiinae",11
"74",153067,2150,"Mideopsis",23,"Genus","Acari",1
"75",153067,2172,"Torrenticola",23,"Genus","Acari",3
"76",153067,5845,"Ephemerella dorothea/excrucians",30,"Species group","Ephemerella",2
"77",153068,19,"Oligochaeta",10,"SubClass","Other_Oligochaeta",2
"78",153068,58,"Trombidiformes",13,"Order","Acari",2
"79",153068,182,"Chironominae",20,"SubFamily","Chironominae",52
"80",153068,184,"Orthocladiinae",20,"SubFamily","Orthocladiinae",71
"81",153068,187,"Tanypodinae",20,"SubFamily","Tanypodinae",3
"82",153068,202,"Clinocera",23,"Genus","Clinocera",4
"83",153068,223,"Simulium",23,"Genus","Simulium",10
"84",153068,237,"Dicranota",23,"Genus","Dicranota",2
"85",153068,250,"Baetis",23,"Genus","Baetis",34
"86",153068,279,"Cinygmula",23,"Genus","Cinygmula",7
"87",153068,304,"Siphlonurus",23,"Genus","Siphlonuridae",4
"88",153068,484,"Micrasema",23,"Genus","Micrasema",2
"89",153068,506,"Hydroptilidae",19,"Family","Hydroptilidae",1
"90",153068,509,"Hydroptila",23,"Genus","Hydroptilidae",1
"91",153068,519,"Lepidostoma",23,"Genus","Lepidostoma",2
"92",153068,647,"Pisidium",23,"Genus","Pisidiidae",1
"93",153068,863,"Cricotopus",23,"Genus","Orthocladiinae",1
