Join_Count,TARGET_FID,JOIN_FID,SiteID,Stream,SiteName,COMID,Order,AU,georef_notes,georef_ID305b_cycle,Lat,Long,OBJECTID,ECO,LEVEL4_NAM,LEVEL3,LEVEL3_NAM,L3CODE,L3NAME,L2CODE,L2NAME,L1CODE,L1NAME,STATE,EPA_REGION,L4_KEY,L3_KEY,L2_KEY,L1_KEY,SITECLASS,SUM_ACRES,HUC4NAME,BASIN,SQ_MILES,HUC4CODE,DEQ_ADMIN,CLASSTYPE,HUCCODE,RuleID,Shape_STAr,Shape_STLe
1,0,355,73,Quartz,014-06-I,22989221,2,ID17010215PN029_02,,2022,48.339383,-116.92597,430,15u,Inland Maritime Foothills and Valleys,15,Northern Rockies,6.2.3,Columbia Mountains/Northern Rockies,6.2,WESTERN CORDILLERA,6,NORTHWESTERN FORESTED MOUNTAINS,Idaho,10,15u  Inland Maritime Foothills and Valleys,15  Northern Rockies,6.2  WESTERN CORDILLERA,6  NORTHWESTERN FORESTED MOUNTAINS,Foothills,254740.544,Priest,Panhandle,398.032,17010215,CRO,1,17010215,1,1030902529,210281.8223
1,1,380,75,Hughes,015-06-IS,22988917,3,ID17010215PN019_03,,2022,48.865993,-117.005263,457,15y,Selkirk Mountains,15,Northern Rockies,6.2.3,Columbia Mountains/Northern Rockies,6.2,WESTERN CORDILLERA,6,NORTHWESTERN FORESTED MOUNTAINS,Idaho,10,15y  Selkirk Mountains,15  Northern Rockies,6.2  WESTERN CORDILLERA,6  NORTHWESTERN FORESTED MOUNTAINS,Mountains,211849.08,Priest,Panhandle,331.014,17010215,CRO,2,17010215,2,857326237.8,348578.2877
1,2,355,76,Lamb,015-09-IKS,22989049,2,ID17010215PN025_02,,2022,48.531112,-116.980373,430,15u,Inland Maritime Foothills and Valleys,15,Northern Rockies,6.2.3,Columbia Mountains/Northern Rockies,6.2,WESTERN CORDILLERA,6,NORTHWESTERN FORESTED MOUNTAINS,Idaho,10,15u  Inland Maritime Foothills and Valleys,15  Northern Rockies,6.2  WESTERN CORDILLERA,6  NORTHWESTERN FORESTED MOUNTAINS,Foothills,254740.544,Priest,Panhandle,398.032,17010215,CRO,1,17010215,1,1030902529,210281.8223
1,3,378,78,Smith,016-06-I,22904511,3,ID17010104PN007_03,,2022,48.887263,-116.702745,455,15y,Selkirk Mountains,15,Northern Rockies,6.2.3,Columbia Mountains/Northern Rockies,6.2,WESTERN CORDILLERA,6,NORTHWESTERN FORESTED MOUNTAINS,Idaho,10,15y  Selkirk Mountains,15  Northern Rockies,6.2  WESTERN CORDILLERA,6  NORTHWESTERN FORESTED MOUNTAINS,Mountains,217052.621,Lower Kootenai,Panhandle,339.145,17010104,CRO,2,17010104,2,878384309.5,389900.2545
1,4,378,79,Myrtle,016-07-I,22904697,2,ID17010104PN013_02,,2022,48.726827,-116.598173,455,15y,Selkirk Mountains,15,Northern Rockies,6.2.3,Columbia Mountains/Northern Rockies,6.2,WESTERN CORDILLERA,6,NORTHWESTERN FORESTED MOUNTAINS,Idaho,10,15y  Selkirk Mountains,15  Northern Rockies,6.2  WESTERN CORDILLERA,6  NORTHWESTERN FORESTED MOUNTAINS,Mountains,217052.621,Lower Kootenai,Panhandle,339.145,17010104,CRO,2,17010104,2,878384309.5,389900.2545
1,5,378,80,Ball,016-09-I,22904645,2,ID17010104PN011_02,,2022,48.784728,-116.552583,455,15y,Selkirk Mountains,15,Northern Rockies,6.2.3,Columbia Mountains/Northern Rockies,6.2,WESTERN CORDILLERA,6,NORTHWESTERN FORESTED MOUNTAINS,Idaho,10,15y  Selkirk Mountains,15  Northern Rockies,6.2  WESTERN CORDILLERA,6  NORTHWESTERN FORESTED MOUNTAINS,Mountains,217052.621,Lower Kootenai,Panhandle,339.145,17010104,CRO,2,17010104,2,878384309.5,389900.2545
1,6,355,82,Dubius,017-01-I,22989845,1,ID17010215PN001_02,,2022,48.400458,-116.921598,430,15u,Inland Maritime Foothills and Valleys,15,Northern Rockies,6.2.3,Columbia Mountains/Northern Rockies,6.2,WESTERN CORDILLERA,6,NORTHWESTERN FORESTED MOUNTAINS,Idaho,10,15u  Inland Maritime Foothills and Valleys,15  Northern Rockies,6.2  WESTERN CORDILLERA,6  NORTHWESTERN FORESTED MOUNTAINS,Foothills,254740.544,Priest,Panhandle,398.032,17010215,CRO,1,17010215,1,1030902529,210281.8223
1,7,355,83,Benton,017-15-I,22989933,1,ID17010215PN001_02,,2022,48.344596,-116.847714,430,15u,Inland Maritime Foothills and Valleys,15,Northern Rockies,6.2.3,Columbia Mountains/Northern Rockies,6.2,WESTERN CORDILLERA,6,NORTHWESTERN FORESTED MOUNTAINS,Idaho,10,15u  Inland Maritime Foothills and Valleys,15  Northern Rockies,6.2  WESTERN CORDILLERA,6  NORTHWESTERN FORESTED MOUNTAINS,Foothills,254740.544,Priest,Panhandle,398.032,17010215,CRO,1,17010215,1,1030902529,210281.8223
1,8,354,84,Cocolalla,017-20-I,24114251,1,ID17010214PN014_02,,2022,48.102206,-116.561761,429,15u,Inland Maritime Foothills and Valleys,15,Northern Rockies,6.2.3,Columbia Mountains/Northern Rockies,6.2,WESTERN CORDILLERA,6,NORTHWESTERN FORESTED MOUNTAINS,Idaho,10,15u  Inland Maritime Foothills and Valleys,15  Northern Rockies,6.2  WESTERN CORDILLERA,6  NORTHWESTERN FORESTED MOUNTAINS,Foothills,362749.68,Pend Oreille Lake,Panhandle,566.796,17010214,CRO,1,17010214,1,1468001744,250383.5957
1,9,343,85,N.F. Grouse,018-05-I,24114465,2,ID17010214PN037_02,,2022,48.468133,-116.368408,410,15q,Purcell-Cabinet-North Bitterroot Mountains,15,Northern Rockies,6.2.3,Columbia Mountains/Northern Rockies,6.2,WESTERN CORDILLERA,6,NORTHWESTERN FORESTED MOUNTAINS,Idaho,10,15q  Purcell-Cabinet-North Bitterroot Mountains,15  Northern Rockies,6.2  WESTERN CORDILLERA,6  NORTHWESTERN FORESTED MOUNTAINS,Mountains,108220.224,Pend Oreille Lake,Panhandle,169.094,17010214,CRO,2,17010214,2,437953458.7,128201.1134
