"","sampleId","taxonomyId","scientificName","levelId","levelName","otuName","splitCount"
"1",153066,19,"Oligochaeta",10,"SubClass","OLIGOCHAETA",32
"2",153066,58,"Trombidiformes",13,"Order","ARACHNIDA",6
"3",153066,108,"Agabus",23,"Genus","Agabus",1
"4",153066,126,"Dubiraphia",23,"Genus","Dubiraphia",1
"5",153066,146,"Zaitzevia parvulua parvula",26,"SubSpecies","Zaitzevia",1
"6",153066,150,"Brychius",23,"Genus","Brychius",2
"7",153066,152,"Peltodytes",23,"Genus","Peltodytes",3
"8",153066,180,"Chironomidae",19,"Family","Other_Chironomidae",2
"9",153066,182,"Chironominae",20,"SubFamily","Chironominae",8
"10",153066,184,"Orthocladiinae",20,"SubFamily","Other_Chironomidae",30
"11",153066,187,"Tanypodinae",20,"SubFamily","Tanypodinae",6
"12",153066,223,"Simulium",23,"Genus","Simuliidae",1
"13",153066,241,"Hexatoma",23,"Genus","Hexatoma",7
"14",153066,247,"Tipula",23,"Genus","Tipula",1
"15",153066,250,"Baetis",23,"Genus","Baetis",53
"16",153066,252,"Centroptilum",23,"Genus","CENTROPTILUM_PROCLOEON",4
"17",153066,261,"Caenis",23,"Genus","Caenis",1
"18",153066,263,"Attenella",23,"Genus","Attenella",1
"19",153066,287,"Leptophlebiidae",19,"Family","Leptophlebiidae",28
"20",153066,307,"Tricorythodes",23,"Genus","Tricorythodes",6
"21",153066,314,"Corixidae",19,"Family","Corixidae",1
"22",153066,385,"Gomphidae",19,"Family","Gomphidae",1
"23",153066,404,"Capniidae",19,"Family","Capniidae",2
"24",153066,455,"Perlodidae",19,"Family","Perlodidae",14
"25",153066,824,"Pentaneura",23,"Genus","Tanypodinae",1
"26",153066,908,"Probezzia",23,"Genus","Ceratopogonidae",1
"27",153066,1102,"Paratendipes",23,"Genus","Chironominae",2
"28",153066,1104,"Pseudochironomus",23,"Genus","Chironominae",1
"29",153066,1108,"Stempellinella",23,"Genus","Chironominae",9
"30",153066,1119,"Cricotopus bicinctus group",30,"Species group","Other_Chironomidae",3
"31",153066,1122,"Cricotopus trifascia group",25,"Species","Other_Chironomidae",4
