OBJECTID,Project,BLM_AdminS,District,FieldOffic,Evaluation,PointID,StreamName,FieldEvalD,SampledMid,SampledM_1,BottomReac,BottomRe_1,TopReachLa,TopReachLo,ProtocolRe,ProtocolTy,ProtocolVe,FieldStatu,PointSelec,OriginalDe,OriginalSt,StreamOrde,EcoregionS,PctOverhea,PctBankOve,VegComplex,VegCompl_1,VegCompl_2,PctNoxious,PctNativeW,PctNoxio_1,PctSedgeRu,PctEquiset,InvasiveIn,ObservedIn,ExpectedIn,OE_Macroin,MMI_Macroi,OE_MMI_Mod,OE_MMI_M_1,Macroinver,TotalNitro,TotalPhosp,SpecificCo,pH,InstantTem,AugTempAvg,TurbidityA,PoolCount,PctPools,PoolFreq,ResPoolDep,LgWoodInCh,LgWoodIn_1,LgWoodIn_2,LgWoodAbov,LgWoodAb_1,LgWoodAb_2,PctFinesLe,PctFines_1,D16,D84,D50,GeometricM,PctPoolTai,PctPoolT_1,PctBankCov,PctBankSta,PctBankC_1,PctBankC_2,PctBankC_3,BankfullHe,BenchHeigh,BankfullDe,BenchDepth,ChannelInc,Floodplain,InstreamHa,BankAngleA,PctBanksUn,ThalwegDep,ThalwegD_1,PctDry,BankfullWi,WettedWidt,WettedWi_1,Entrenchme,Entrench_1,PctSlope,Sinuosity,HumanInflu,BeaverFlow,BeaverSign,WaterWithd,SideChanne,PhotoLink,CoreSubset,Supplement,GreenlineV,Evaluati_1,RecordID,GlobalID,created_us,created_da,last_edite,last_edi_1,NAMC_Sampl
1,QC,ID,Idaho Falls District Office,Challis Field Office,CF-LS-56954_2020-08-09,CF-LS-56954,MORGAN CREEK,8/9/2020,44.66186300000,-114.22708300000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,,,,,ID_ChallisFO_BullTroutSteelhead_2017,Bull Trout and Steelhead,3,,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0,0,0,0,0,,0,0.00000000000,0.00000000000,0.00000000000,,,0,169.00000000000,68.70000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0,0.00000000000,0.00000000000,0.00000000000,0,0.00000000000,0.00000000000,0,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0,0,0,0,0,0,0,0,0,0,0,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,,,,,,https://gis.blm.doi.net/attachments/AIM/Lotic/ID/CF-LS-56954_2020-08-09/,No,,No,B383AA8A-59DA-42F7-84DB-994AC0CDEEC9,CF-LS-56954_2020-08-09,{C43C042F-22F6-4003-AFD7-3439E570DF1C},,,,,
2,QC,ID,Idaho Falls District Office,Challis Field Office,CF-SS-47546_2020-08-08,CF-SS-47546,PAHSIMEROI RIVER,8/8/2020,44.48197200000,-113.81616600000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,,,,,ID_ChallisFO_BullTroutSteelhead_2017,Bull Trout and Steelhead,2,,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0,0,0,0,0,,0,0.00000000000,0.00000000000,0.00000000000,,,0,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0,0.00000000000,0.00000000000,0.00000000000,0,0.00000000000,0.00000000000,0,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0,0,0,0,0,0,0,0,0,0,0,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,,,,,,https://gis.blm.doi.net/attachments/AIM/Lotic/ID/CF-SS-47546_2020-08-08/,No,,No,7C49B225-19CC-4A1F-84A8-A833D1546C64,CF-SS-47546_2020-08-08,{266C3C12-02AA-40C5-9E10-4B6E77BE4CAB},,,,,
3,QC,ID,Idaho Falls District Office,Challis Field Office,CN-RV-13082_2020-09-23,CN-RV-13082,BIG LOST RIVER,9/23/2020,43.97627200000,-114.06248300000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,,,,,ID_ChallisFO_NoBullTroutSteelhead_2017,No Bull Trout and Steelhead,5,,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0,0,0,0,0,,0,0.00000000000,0.00000000000,0.00000000000,,,0,72.00000000000,22.20000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0,0.00000000000,0.00000000000,0.00000000000,0,0.00000000000,0.00000000000,0,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0,0,0,0,0,0,0,0,0,0,0,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,,,,,,https://gis.blm.doi.net/attachments/AIM/Lotic/ID/CN-RV-13082_2020-09-23/,No,,No,014D32DF-D20B-40DA-942D-E2494A78DD01,CN-RV-13082_2020-09-23,{FA6A7BA6-56CE-4B10-BE30-B5B0790396D6},,,,,
4,QC,ID,Coeur d'Alene District Office,Cottonwood Field Office,CTG-SS-1007_2020-08-21,CTG-SS-1007,WHISKEY CREEK,8/21/2020,45.84645000000,-115.51654400000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,,,,,ID_CottonwoodFO_Standard_2019,Grazing,1,,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0,0,0,0,0,,0,0.00000000000,0.00000000000,0.00000000000,,,0,153.00000000000,37.50000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0,0.00000000000,0.00000000000,0.00000000000,0,0.00000000000,0.00000000000,0,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0,0,0,0,0,0,0,0,0,0,0,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,,,,,,https://gis.blm.doi.net/attachments/AIM/Lotic/ID/CTG-SS-1007_2020-08-21/,No,,No,03F9598C-565D-43FB-B750-7600A63B1CFE,CTG-SS-1007_2020-08-21,{CBBFE86A-A974-4854-B10D-1F33455E5747},,,,,
5,QC,ID,Coeur d'Alene District Office,Cottonwood Field Office,CTG-SS-1011_2020-08-20,CTG-SS-1011,NA,8/20/2020,45.85117200000,-115.48687000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,,,,,ID_CottonwoodFO_Standard_2019,Grazing,1,,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0,0,0,0,0,,0,0.00000000000,0.00000000000,0.00000000000,,,0,228.00000000000,31.30000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0,0.00000000000,0.00000000000,0.00000000000,0,0.00000000000,0.00000000000,0,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0,0,0,0,0,0,0,0,0,0,0,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,,,,,,https://gis.blm.doi.net/attachments/AIM/Lotic/ID/CTG-SS-1011_2020-08-20/,No,,No,DBF00F36-12FF-4715-ADC3-7473D8DA48D5,CTG-SS-1011_2020-08-20,{0BC4A3F7-6434-49A4-8FCE-ED8E22A55587},,,,,
6,QC,ID,Coeur d'Alene District Office,Cottonwood Field Office,CTO-LS-1070_2020-08-23,CTO-LS-1070,HARD CREEK,8/23/2020,45.17907400000,-116.28232800000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,,,,,ID_CottonwoodFO_Standard_2019,Other,3,,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0,0,0,0,0,,0,0.00000000000,0.00000000000,0.00000000000,,,0,73.00000000000,45.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0,0.00000000000,0.00000000000,0.00000000000,0,0.00000000000,0.00000000000,0,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0,0,0,0,0,0,0,0,0,0,0,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,,,,,,https://gis.blm.doi.net/attachments/AIM/Lotic/ID/CTO-LS-1070_2020-08-23/,No,,No,6AA3B163-C3EC-4F5E-B983-C1F1DD38A72D,CTO-LS-1070_2020-08-23,{C2323D48-BFC0-49AD-86F4-F1ABD9BC8E77},,,,,
7,QC,ID,Coeur d'Alene District Office,Cottonwood Field Office,CTO-SS-1077_2020-08-19,CTO-SS-1077,N/A,8/19/2020,45.82407900000,-115.51911800000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,,,,,ID_CottonwoodFO_Standard_2019,Other,1,,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0,0,0,0,0,,0,0.00000000000,0.00000000000,0.00000000000,,,0,176.00000000000,33.20000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0,0.00000000000,0.00000000000,0.00000000000,0,0.00000000000,0.00000000000,0,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0,0,0,0,0,0,0,0,0,0,0,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,,,,,,https://gis.blm.doi.net/attachments/AIM/Lotic/ID/CTO-SS-1077_2020-08-19/,No,,No,CF6E3408-B1F4-4F5E-9C66-2956459B3520,CTO-SS-1077_2020-08-19,{D8AE0822-BF3B-40D6-9261-2570A8989318},,,,,
8,QC,ID,Twin Falls District Office,Jarbidge Field Office,JA-LS-11176_2020-09-09,JA-LS-11176,House Creek,9/9/2020,42.19122900000,-114.97192900000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,,,,,ID_JarbidgeFO_Standard_2020,JarbidgeFO,3,,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0,0,0,0,0,,0,0.00000000000,0.00000000000,0.00000000000,,,0,578.00000000000,79.20000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0,0.00000000000,0.00000000000,0.00000000000,0,0.00000000000,0.00000000000,0,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0,0,0,0,0,0,0,0,0,0,0,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,,,,,,https://gis.blm.doi.net/attachments/AIM/Lotic/ID/JA-LS-11176_2020-09-09/,No,,No,CAD326F7-E3AC-4E70-987A-B1B695EC8024,JA-LS-11176_2020-09-09,{C4810DA1-2B0F-4972-A5E1-B3E8EEC5D87E},,,,,
9,QC,ID,Twin Falls District Office,Jarbidge Field Office,JA-LS-24232_2020-09-24,JA-LS-24232,EAST FORK JARBIDGE RIVER,9/24/2020,42.04330600000,-115.38202200000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,,,,,ID_JarbidgeFO_Standard_2020,JarbidgeFO,3,,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0,0,0,0,0,,0,0.00000000000,0.00000000000,0.00000000000,,,0,119.00000000000,27.80000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0,0.00000000000,0.00000000000,0.00000000000,0,0.00000000000,0.00000000000,0,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0,0,0,0,0,0,0,0,0,0,0,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,,,,,,https://gis.blm.doi.net/attachments/AIM/Lotic/ID/JA-LS-24232_2020-09-24/,No,,No,595E8436-D908-4C03-B98A-F6479312131F,JA-LS-24232_2020-09-24,{D61C7751-BD38-4054-8FBB-B9D444C0DB7C},,,,,
10,QC,ID,Twin Falls District Office,Jarbidge Field Office,JA-LS-36840_2020-09-23,JA-LS-36840,,9/23/2020,41.97856600000,-115.41285100000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,,,,,ID_JarbidgeFO_Standard_2020,JarbidgeFO,3,,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0,0,0,0,0,,0,0.00000000000,0.00000000000,0.00000000000,,,0,83.00000000000,20.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0,0.00000000000,0.00000000000,0.00000000000,0,0.00000000000,0.00000000000,0,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0,0,0,0,0,0,0,0,0,0,0,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,,,,,,https://gis.blm.doi.net/attachments/AIM/Lotic/ID/JA-LS-36840_2020-09-23/,No,,No,B5239EC6-EE65-4E09-A665-12EA19FD89D8,JA-LS-36840_2020-09-23,{99A328A9-E07B-4B90-BB3E-63CCD7C22D90},,,,,
