Rchid,PebLess2,PebLess6,BedPebs,PercentFine2,PercentFine6
4,23,27,108,0.213,0.25
6,81,97,104,0.7788,0.9327
8,53,67,104,0.5096,0.6442
10,12,15,62,0.1935,0.2419
12,34,40,96,0.3542,0.4167
14,65,91,101,0.6436,0.901
17,35,36,44,0.7955,0.8182
24,20,23,106,0.1887,0.217
25,25,29,97,0.2577,0.299
30,21,36,93,0.2258,0.3871
32,21,30,102,0.2059,0.2941
33,34,35,95,0.3579,0.3684
34,59,72,98,0.602,0.7347
37,42,45,89,0.4719,0.5056
38,79,79,96,0.8229,0.8229
39,13,15,96,0.1354,0.1562
41,78,79,104,0.75,0.7596
46,30,45,101,0.297,0.4455
69,104,110,111,0.9369,0.991
71,103,103,103,1,1
92,27,32,95,0.2842,0.3368
96,74,95,125,0.592,0.76
98,98,100,117,0.8376,0.8547
112,14,15,105,0.1333,0.1429
138,26,29,105,0.2476,0.2762
139,3,6,109,0.0275,0.055
140,30,33,106,0.283,0.3113
141,3,4,104,0.0288,0.0385
142,3,5,107,0.028,0.0467
143,15,15,106,0.1415,0.1415
144,0,0,105,0,0
151,13,15,115,0.113,0.1304
152,26,28,108,0.2407,0.2593
165,32,37,107,0.2991,0.3458
172,1,1,105,0.0095,0.0095
173,6,7,103,0.0583,0.068
186,21,26,88,0.2386,0.2955
187,25,26,105,0.2381,0.2476
188,20,21,105,0.1905,0.2
189,61,61,107,0.5701,0.5701
190,12,12,110,0.1091,0.1091
191,12,14,103,0.1165,0.1359
192,44,46,105,0.419,0.4381
194,21,25,109,0.1927,0.2294
195,99,102,108,0.9167,0.9444
196,32,42,105,0.3048,0.4
201,21,25,104,0.2019,0.2404
204,38,42,104,0.3654,0.4038
205,67,73,105,0.6381,0.6952
206,21,26,105,0.2,0.2476
207,105,105,105,1,1
208,10,18,94,0.1064,0.1915
209,1,2,116,0.0086,0.0172
210,46,58,85,0.5412,0.6824
211,21,30,99,0.2121,0.303
212,34,43,105,0.3238,0.4095
213,54,56,106,0.5094,0.5283
214,21,29,117,0.1795,0.2479
215,2,3,106,0.0189,0.0283
228,8,9,109,0.0734,0.0826
231,10,18,115,0.087,0.1565
253,29,35,115,0.2522,0.3043
259,20,23,115,0.1739,0.2
262,22,26,102,0.2157,0.2549
263,26,31,104,0.25,0.2981
264,53,63,99,0.5354,0.6364
266,29,37,105,0.2762,0.3524
268,11,12,105,0.1048,0.1143
269,36,42,101,0.3564,0.4158
270,20,20,110,0.1818,0.1818
275,27,29,108,0.25,0.2685
277,42,49,124,0.3387,0.3952
283,9,9,108,0.0833,0.0833
284,38,43,107,0.3551,0.4019
285,74,74,100,0.74,0.74
286,14,18,108,0.1296,0.1667
287,22,22,122,0.1803,0.1803
288,28,30,110,0.2545,0.2727
289,41,42,102,0.402,0.4118
296,25,29,103,0.2427,0.2816
307,90,96,97,0.9278,0.9897
309,36,39,105,0.3429,0.3714
310,17,21,108,0.1574,0.1944
311,11,13,114,0.0965,0.114
313,4,4,125,0.032,0.032
315,26,28,101,0.2574,0.2772
317,12,20,107,0.1121,0.1869
318,37,42,118,0.3136,0.3559
326,20,31,105,0.1905,0.2952
327,2,4,110,0.0182,0.0364
328,19,19,101,0.1881,0.1881
330,39,40,104,0.375,0.3846
331,17,31,109,0.156,0.2844
332,40,48,105,0.381,0.4571
333,20,22,115,0.1739,0.1913
344,18,18,110,0.1636,0.1636
346,23,28,109,0.211,0.2569
349,5,7,106,0.0472,0.066
350,89,97,115,0.7739,0.8435
351,20,25,104,0.1923,0.2404
352,2,4,104,0.0192,0.0385
353,11,15,110,0.1,0.1364
354,21,25,106,0.1981,0.2358
355,0,0,104,0,0
356,17,21,110,0.1545,0.1909
357,26,30,109,0.2385,0.2752
358,28,51,126,0.2222,0.4048
359,0,1,116,0,0.0086
360,8,13,106,0.0755,0.1226
361,11,14,105,0.1048,0.1333
362,26,33,102,0.2549,0.3235
363,18,19,104,0.1731,0.1827
373,2,3,110,0.0182,0.0273
384,13,20,110,0.1182,0.1818
385,6,8,125,0.048,0.064
