ROWID,MLOC_ID,MLOC_NAME,ACT_ID,CHR_UID,CHR_NAME,RES_COMMENTS,RES_MEASURE,MSUNT_CD
9,1993SBOIA001,Lime Creek,1993SBOIA001 Longitudinal,3417,Habitat Type,GLIDE,96,m
10,1993SBOIA001,Lime Creek,1993SBOIA001 Longitudinal,3417,Habitat Type,Run,0,m
11,1993SBOIA001,Lime Creek,1993SBOIA001 Longitudinal,3417,Habitat Type,RIFFLE,0,m
12,1993SBOIA001,Lime Creek,1993SBOIA001 Longitudinal,3417,Habitat Type,Pool,4,m
23,1993SBOIA002,Lime Creek,1993SBOIA002 Longitudinal,3417,Habitat Type,GLIDE,100,m
24,1993SBOIA002,Lime Creek,1993SBOIA002 Longitudinal,3417,Habitat Type,Run,0,m
25,1993SBOIA002,Lime Creek,1993SBOIA002 Longitudinal,3417,Habitat Type,RIFFLE,0,m
26,1993SBOIA002,Lime Creek,1993SBOIA002 Longitudinal,3417,Habitat Type,Pool,0,m
37,1993SBOIA003,Tripod Creek,1993SBOIA003 Longitudinal,3417,Habitat Type,GLIDE,10,m
38,1993SBOIA003,Tripod Creek,1993SBOIA003 Longitudinal,3417,Habitat Type,Run,0,m
39,1993SBOIA003,Tripod Creek,1993SBOIA003 Longitudinal,3417,Habitat Type,RIFFLE,0,m
40,1993SBOIA003,Tripod Creek,1993SBOIA003 Longitudinal,3417,Habitat Type,Pool,50,m
51,1993SBOIA005,North Fork Payette River,1993SBOIA005 Longitudinal,3417,Habitat Type,GLIDE,445,m
52,1993SBOIA005,North Fork Payette River,1993SBOIA005 Longitudinal,3417,Habitat Type,Run,0,m
53,1993SBOIA005,North Fork Payette River,1993SBOIA005 Longitudinal,3417,Habitat Type,RIFFLE,0,m
54,1993SBOIA005,North Fork Payette River,1993SBOIA005 Longitudinal,3417,Habitat Type,Pool,15,m
65,1993SBOIA006,Fisher Creek,1993SBOIA006 Longitudinal,3417,Habitat Type,GLIDE,260,m
66,1993SBOIA006,Fisher Creek,1993SBOIA006 Longitudinal,3417,Habitat Type,Run,0,m
67,1993SBOIA006,Fisher Creek,1993SBOIA006 Longitudinal,3417,Habitat Type,RIFFLE,0,m
68,1993SBOIA006,Fisher Creek,1993SBOIA006 Longitudinal,3417,Habitat Type,Pool,0,m
79,1993SBOIA007,Burntlog Creek,1993SBOIA007 Longitudinal,3417,Habitat Type,GLIDE,122,m
80,1993SBOIA007,Burntlog Creek,1993SBOIA007 Longitudinal,3417,Habitat Type,Run,0,m
81,1993SBOIA007,Burntlog Creek,1993SBOIA007 Longitudinal,3417,Habitat Type,RIFFLE,0,m
82,1993SBOIA007,Burntlog Creek,1993SBOIA007 Longitudinal,3417,Habitat Type,Pool,18,m
93,1993SBOIA008,Deep Creek,1993SBOIA008 Longitudinal,3417,Habitat Type,GLIDE,65,m
94,1993SBOIA008,Deep Creek,1993SBOIA008 Longitudinal,3417,Habitat Type,Run,0,m
95,1993SBOIA008,Deep Creek,1993SBOIA008 Longitudinal,3417,Habitat Type,RIFFLE,0,m
96,1993SBOIA008,Deep Creek,1993SBOIA008 Longitudinal,3417,Habitat Type,Pool,85,m
107,1993SBOIA009,Twentymile Creek,1993SBOIA009 Longitudinal,3417,Habitat Type,GLIDE,150,m
108,1993SBOIA009,Twentymile Creek,1993SBOIA009 Longitudinal,3417,Habitat Type,Run,0,m
109,1993SBOIA009,Twentymile Creek,1993SBOIA009 Longitudinal,3417,Habitat Type,RIFFLE,0,m
110,1993SBOIA009,Twentymile Creek,1993SBOIA009 Longitudinal,3417,Habitat Type,Pool,0,m
121,1993SBOIA010,Pearl Creek,1993SBOIA010 Longitudinal,3417,Habitat Type,GLIDE,109,m
122,1993SBOIA010,Pearl Creek,1993SBOIA010 Longitudinal,3417,Habitat Type,Run,0,m
123,1993SBOIA010,Pearl Creek,1993SBOIA010 Longitudinal,3417,Habitat Type,RIFFLE,0,m
124,1993SBOIA010,Pearl Creek,1993SBOIA010 Longitudinal,3417,Habitat Type,Pool,31,m
135,1993SBOIA011,Pearl Creek,1993SBOIA011 Longitudinal,3417,Habitat Type,GLIDE,90,m
136,1993SBOIA011,Pearl Creek,1993SBOIA011 Longitudinal,3417,Habitat Type,Run,0,m
137,1993SBOIA011,Pearl Creek,1993SBOIA011 Longitudinal,3417,Habitat Type,RIFFLE,0,m
138,1993SBOIA011,Pearl Creek,1993SBOIA011 Longitudinal,3417,Habitat Type,Pool,30,m
149,1993SBOIA012,Wildhorse River,1993SBOIA012 Longitudinal,3417,Habitat Type,GLIDE,340,m
150,1993SBOIA012,Wildhorse River,1993SBOIA012 Longitudinal,3417,Habitat Type,Run,0,m
151,1993SBOIA012,Wildhorse River,1993SBOIA012 Longitudinal,3417,Habitat Type,RIFFLE,0,m
152,1993SBOIA012,Wildhorse River,1993SBOIA012 Longitudinal,3417,Habitat Type,Pool,20,m
163,1993SBOIA013,Bear Creek,1993SBOIA013 Longitudinal,3417,Habitat Type,GLIDE,236,m
164,1993SBOIA013,Bear Creek,1993SBOIA013 Longitudinal,3417,Habitat Type,Run,0,m
165,1993SBOIA013,Bear Creek,1993SBOIA013 Longitudinal,3417,Habitat Type,RIFFLE,0,m
166,1993SBOIA013,Bear Creek,1993SBOIA013 Longitudinal,3417,Habitat Type,Pool,24,m
177,1993SBOIA014,Crooked River,1993SBOIA014 Longitudinal,3417,Habitat Type,GLIDE,100,m
178,1993SBOIA014,Crooked River,1993SBOIA014 Longitudinal,3417,Habitat Type,Run,0,m
179,1993SBOIA014,Crooked River,1993SBOIA014 Longitudinal,3417,Habitat Type,RIFFLE,0,m
180,1993SBOIA014,Crooked River,1993SBOIA014 Longitudinal,3417,Habitat Type,Pool,0,m
191,1993SBOIA015,East Fork Weiser River,1993SBOIA015 Longitudinal,3417,Habitat Type,GLIDE,150,m
192,1993SBOIA015,East Fork Weiser River,1993SBOIA015 Longitudinal,3417,Habitat Type,Run,0,m
193,1993SBOIA015,East Fork Weiser River,1993SBOIA015 Longitudinal,3417,Habitat Type,RIFFLE,0,m
194,1993SBOIA015,East Fork Weiser River,1993SBOIA015 Longitudinal,3417,Habitat Type,Pool,0,m
205,1993SBOIA016,Mann Creek,1993SBOIA016 Longitudinal,3417,Habitat Type,GLIDE,195,m
206,1993SBOIA016,Mann Creek,1993SBOIA016 Longitudinal,3417,Habitat Type,Run,0,m
207,1993SBOIA016,Mann Creek,1993SBOIA016 Longitudinal,3417,Habitat Type,RIFFLE,0,m
208,1993SBOIA016,Mann Creek,1993SBOIA016 Longitudinal,3417,Habitat Type,Pool,5,m
219,1993SBOIA017,Riordan Creek,1993SBOIA017 Longitudinal,3417,Habitat Type,GLIDE,70,m
220,1993SBOIA017,Riordan Creek,1993SBOIA017 Longitudinal,3417,Habitat Type,Run,0,m
221,1993SBOIA017,Riordan Creek,1993SBOIA017 Longitudinal,3417,Habitat Type,RIFFLE,0,m
222,1993SBOIA017,Riordan Creek,1993SBOIA017 Longitudinal,3417,Habitat Type,Pool,30,m
233,1993SBOIA018,Anderson Creek,1993SBOIA018 Longitudinal,3417,Habitat Type,GLIDE,93,m
234,1993SBOIA018,Anderson Creek,1993SBOIA018 Longitudinal,3417,Habitat Type,Run,0,m
235,1993SBOIA018,Anderson Creek,1993SBOIA018 Longitudinal,3417,Habitat Type,RIFFLE,0,m
236,1993SBOIA018,Anderson Creek,1993SBOIA018 Longitudinal,3417,Habitat Type,Pool,67,m
247,1993SBOIA019,Scriver Creek,1993SBOIA019 Longitudinal,3417,Habitat Type,GLIDE,104,m
248,1993SBOIA019,Scriver Creek,1993SBOIA019 Longitudinal,3417,Habitat Type,Run,0,m
249,1993SBOIA019,Scriver Creek,1993SBOIA019 Longitudinal,3417,Habitat Type,RIFFLE,0,m
250,1993SBOIA019,Scriver Creek,1993SBOIA019 Longitudinal,3417,Habitat Type,Pool,36,m
261,1993SBOIA020,Silver Creek,1993SBOIA020 Longitudinal,3417,Habitat Type,GLIDE,86,m
262,1993SBOIA020,Silver Creek,1993SBOIA020 Longitudinal,3417,Habitat Type,Run,0,m
263,1993SBOIA020,Silver Creek,1993SBOIA020 Longitudinal,3417,Habitat Type,RIFFLE,0,m
264,1993SBOIA020,Silver Creek,1993SBOIA020 Longitudinal,3417,Habitat Type,Pool,14,m
275,1993SBOIA021,Silver Creek,1993SBOIA021 Longitudinal,3417,Habitat Type,GLIDE,108,m
276,1993SBOIA021,Silver Creek,1993SBOIA021 Longitudinal,3417,Habitat Type,Run,0,m
277,1993SBOIA021,Silver Creek,1993SBOIA021 Longitudinal,3417,Habitat Type,RIFFLE,0,m
278,1993SBOIA021,Silver Creek,1993SBOIA021 Longitudinal,3417,Habitat Type,Pool,32,m
289,1993SBOIA022,Big Bulldog Creek,1993SBOIA022 Longitudinal,3417,Habitat Type,GLIDE,22,m
290,1993SBOIA022,Big Bulldog Creek,1993SBOIA022 Longitudinal,3417,Habitat Type,Run,0,m
291,1993SBOIA022,Big Bulldog Creek,1993SBOIA022 Longitudinal,3417,Habitat Type,RIFFLE,0,m
292,1993SBOIA022,Big Bulldog Creek,1993SBOIA022 Longitudinal,3417,Habitat Type,Pool,78,m
303,1993SBOIA023,Deadwood River,1993SBOIA023 Longitudinal,3417,Habitat Type,GLIDE,55,m
304,1993SBOIA023,Deadwood River,1993SBOIA023 Longitudinal,3417,Habitat Type,Run,0,m
305,1993SBOIA023,Deadwood River,1993SBOIA023 Longitudinal,3417,Habitat Type,RIFFLE,0,m
306,1993SBOIA023,Deadwood River,1993SBOIA023 Longitudinal,3417,Habitat Type,Pool,261,m
317,1993SBOIA024,Deadwood River,1993SBOIA024 Longitudinal,3417,Habitat Type,GLIDE,0,m
318,1993SBOIA024,Deadwood River,1993SBOIA024 Longitudinal,3417,Habitat Type,Run,0,m
319,1993SBOIA024,Deadwood River,1993SBOIA024 Longitudinal,3417,Habitat Type,RIFFLE,0,m
320,1993SBOIA024,Deadwood River,1993SBOIA024 Longitudinal,3417,Habitat Type,Pool,0,m
331,1993SBOIA025,West Fork Weiser River,1993SBOIA025 Longitudinal,3417,Habitat Type,GLIDE,60,m
332,1993SBOIA025,West Fork Weiser River,1993SBOIA025 Longitudinal,3417,Habitat Type,Run,0,m
333,1993SBOIA025,West Fork Weiser River,1993SBOIA025 Longitudinal,3417,Habitat Type,RIFFLE,0,m
334,1993SBOIA025,West Fork Weiser River,1993SBOIA025 Longitudinal,3417,Habitat Type,Pool,40,m
345,1993SBOIA026,West Fork Weiser River,1993SBOIA026 Longitudinal,3417,Habitat Type,GLIDE,368,m
