WBSEGMENT,BURPID,BURP Stream Name,SMI,SFI,SHI,WBAG 2 Score,SMI2,SFI2,SHI2,WBAG 3 Score
ID17050113SW010_05,1993SBOIA001,Lime Creek,55.25863,NULL,28,2,NULL,NULL,NULL,NULL
ID17050113SW010_04,1993SBOIA002,Lime Creek,61.24809,NULL,24,2,NULL,NULL,NULL,NULL
ID17050123SW001_02,1993SBOIA003,Tripod Creek,23.85082,60,21,0,NULL,NULL,NULL,NULL
ID17050102SW021_04,1993SBOIA004,Jarbidge River,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
ID17050123SW018_03,1993SBOIA005,North Fork Payette River,61.6885,NULL,22,2,NULL,NULL,NULL,NULL
ID17050123SW022_02,1993SBOIA006,Fisher Creek,55.57855,NULL,26,1.5,NULL,NULL,NULL,NULL
ID17060208SL026_03,1993SBOIA007,Burntlog Creek,66.74626,NULL,27,2,NULL,NULL,NULL,NULL
ID17050123SW018_02,1993SBOIA008,Deep Creek,43.05045,NULL,25,1,NULL,NULL,NULL,NULL
ID17050123SW020_03,1993SBOIA009,Twentymile Creek,67.26065,NULL,25,2,NULL,NULL,NULL,NULL
ID17050123SW018_02,1993SBOIA010,Pearl Creek,65.21687,NULL,26,2,NULL,NULL,NULL,NULL
ID17050123SW018_02,1993SBOIA011,Pearl Creek,67.20453,NULL,26,2,NULL,NULL,NULL,NULL
ID17050201SW015_04,1993SBOIA012,Wildhorse River,73.5665,NULL,25,2,NULL,NULL,NULL,NULL
ID17050201SW016_02,1993SBOIA013,Bear Creek,77.80794,NULL,26,2,NULL,NULL,NULL,NULL
ID17050201SW015_02,1993SBOIA014,Crooked River,80.26883,NULL,28,2,NULL,NULL,NULL,NULL
ID17050124SW016_03,1993SBOIA015,East Fork Weiser River,75.65976,NULL,26,2,NULL,NULL,NULL,NULL
ID17050124SW032_03,1993SBOIA016,Mann Creek,73.95231,NULL,17,2,NULL,NULL,NULL,NULL
ID17060208SL028_03,1993SBOIA017,Riordan Creek,70.25183,NULL,15,2,NULL,NULL,NULL,NULL
ID17050121SW002_03,1993SBOIA018,Anderson Creek,61.29746,NULL,22,2,NULL,NULL,NULL,NULL
ID17050121SW010_03,1993SBOIA019,Scriver Creek,71.81662,NULL,26,2,NULL,NULL,NULL,NULL
ID17050121SW007_02,1993SBOIA020,Silver Creek,71.1435,NULL,26,2,NULL,NULL,NULL,NULL
ID17050121SW007_02,1993SBOIA021,Silver Creek,63.23167,NULL,19,2,NULL,NULL,NULL,NULL
ID17050121SW004_02,1993SBOIA022,Big Bulldog Creek,74.69847,NULL,26,2,NULL,NULL,NULL,NULL
ID17050120SW019_03,1993SBOIA023,Deadwood River,54.26513,NULL,20,1.5,NULL,NULL,NULL,NULL
ID17050120SW019_03,1993SBOIA024,Deadwood River,67.02625,NULL,23,2,NULL,NULL,NULL,NULL
ID17050124SW017_02,1993SBOIA025,West Fork Weiser River,63.75571,NULL,20,2,NULL,NULL,NULL,NULL
ID17050124SW017_03,1993SBOIA026,West Fork Weiser River,55.7627,NULL,19,2,NULL,NULL,NULL,NULL
ID17050124SW014_03a,1993SBOIA027,Middle Fork Weiser River,66.87077,NULL,19,2,NULL,NULL,NULL,NULL
ID17050124SW014_02,1993SBOIA028,Middle Fork Weiser River,65.70044,NULL,20,2,NULL,NULL,NULL,NULL
ID17050124SW021_02,1993SBOIA029,Hornet Creek,78.79362,NULL,20,2,NULL,NULL,NULL,NULL
ID17050201SW017_02,1993SBOIA030,Indian Creek,72.0173,NULL,20,2,NULL,NULL,NULL,NULL
ID17050201SW017_02,1993SBOIA031,Indian Creek,69.52389,NULL,26,2,NULL,NULL,NULL,NULL
ID17060101SL004_03,1993SBOIA032,Deep Creek,59.7655,NULL,28,2,NULL,NULL,NULL,NULL
ID17060101SL004_03,1993SBOIA033,Deep Creek,73.65645,NULL,26,2,NULL,NULL,NULL,NULL
ID17050112SW013_05,1993SBOIA034,Grimes Creek,52.10936,NULL,24,2,NULL,NULL,NULL,NULL
ID17050112SW013_02,1993SBOIA035,Grimes Creek,66.09248,NULL,24,2,NULL,NULL,NULL,NULL
ID17050111SW015_03,1993SBOIA036,Rabbit Creek,45.90869,NULL,25,1,NULL,NULL,NULL,NULL
ID17050111SW014_03,1993SBOIA037,Crooked River,53.68224,NULL,24,1.5,NULL,NULL,NULL,NULL
ID17050111SW012_03,1993SBOIA038,Bear River,42.43954,NULL,20,1,NULL,NULL,NULL,NULL
