MLOC_ID,COMID,STREAM,HUC4CODE,HUC4NAME,BASIN,WBSEGMENT,STR_ORDR,GRADIENT,YEAR,REFERENCE,ECO_REG,ECO4NAME,ELEVATION,SITECLASS,LATITUDE,LONGITUDE,METTYP_ID,ACTMET_VALUE
1998SBOIA002,23300308,Hardtrigger Creek,17050103,Middle Snake-Succor,Southwest,ID17050103SW008_02,2,0.031001,1998,Other,Snake River Basin/high Desert,Unwooded Alkaline Foothills,2523,PPBV,43.401453,-116.738033,FSBI(score),0
1998SBOIA003,23300310,Hardtrigger Creek,17050103,Middle Snake-Succor,Southwest,ID17050103SW008_02,2,0.030568,1998,Other,Snake River Basin/high Desert,Owyhee Uplands and Canyons,3356,PPBV,43.363001,-116.792469,FSBI(score),40
1998SBOIA004,23300226,Jump Creek,17050103,Middle Snake-Succor,Southwest,ID17050103SW005_03,3,0.05365,1998,Other,Snake River Basin/high Desert,Unwooded Alkaline Foothills,2605,PPBV,43.481501,-116.921454,FSBI(score),40
1998SBOIA005,23300228,Jump Creek,17050103,Middle Snake-Succor,Southwest,ID17050103SW005_03,3,0.008756,1998,Other,Snake River Basin/high Desert,Owyhee Uplands and Canyons,3878,PPBV,43.433138,-116.967259,FSBI(score),0
1998SBOIA006,23387843,Cayuse Creek,17050113,South Fork Boise,Southwest,ID17050113SW004_02,1,0.083668,1998,Other,Snake River Basin/high Desert,Foothill Shrublands-Grasslands,3757,PPBV,43.377149,-115.553567,FSBI(score),50
1998SBOIA007,23389185,Moores Creek,17050113,South Fork Boise,Southwest,ID17050113SW010_03a,1,0.006473,1998,Other,Snake River Basin/high Desert,Foothill Shrublands-Grasslands,5394,PPBV,43.392562,-115.201723,FSBI(score),10
1998SBOIA008,23389367,Moores Creek,17050113,South Fork Boise,Southwest,ID17050113SW010_04a,4,0.065019,1998,Other,Snake River Basin/high Desert,Southern Forested Mountains,5180,Mountains,43.408707,-115.233042,FSBI(score),45
1998SBOIA009,23390237,Jumbo Creek,17050113,South Fork Boise,Southwest,ID17050113SW015_02,1,0.164243,1998,Reference,Northern Rockies,Southern Forested Mountains,5092,Mountains,43.604454,-115.063399,FSBI(score),155
1998SBOIA010,23387863,Granite Creek,17050113,South Fork Boise,Southwest,ID17050113SW004_02,6,0.107324,1998,Reference,Snake River Basin/high Desert,Foothill Shrublands-Grasslands,3730,PPBV,43.387244,-115.543503,FSBI(score),75
1998SBOIA011,23388109,Evans Creek,17050113,South Fork Boise,Southwest,ID17050113SW005_02,2,0.086901,1998,Other,Snake River Basin/high Desert,Southern Forested Mountains,4278,Mountains,43.403654,-115.415838,FSBI(score),105
1998SBOIA012,23389277,Goat Creek,17050113,South Fork Boise,Southwest,ID17050113SW005_02,1,0.070643,1998,Other,Snake River Basin/high Desert,Southern Forested Mountains,4377,Mountains,43.436808,-115.321047,FSBI(score),30
1998SBOIA013,23390015,Big Water Gulch,17050113,South Fork Boise,Southwest,ID17050113SW015_02,2,0.075244,1998,Other,Northern Rockies,Southern Forested Mountains,4980,Mountains,43.606115,-115.094447,FSBI(score),160
1998SBOIA014,23389973,Marsh Creek,17050113,South Fork Boise,Southwest,ID17050113SW013_02,1,0.076865,1998,Other,Northern Rockies,Southern Forested Mountains,4915,Mountains,43.624206,-115.164409,FSBI(score),80
1998SBOIA015,23387897,Pierce Creek,17050113,South Fork Boise,Southwest,ID17050113SW004_02,2,0.101873,1998,Other,Snake River Basin/high Desert,Foothill Shrublands-Grasslands,3835,PPBV,43.405361,-115.557388,FSBI(score),85
1998SBOIA016,23389285,Lester Creek,17050113,South Fork Boise,Southwest,ID17050113SW005_02,1,0.021017,1998,Other,Snake River Basin/high Desert,Southern Forested Mountains,4833,Mountains,43.444205,-115.355291,FSBI(score),55
1998SBOIA017,23389309,Castle Creek,17050113,South Fork Boise,Southwest,ID17050113SW005_03,3,0.073415,1998,Reference,Snake River Basin/high Desert,Southern Forested Mountains,4229,Mountains,43.412787,-115.398018,FSBI(score),75
1998SBOIA018,23387825,Wilson Creek,17050113,South Fork Boise,Southwest,ID17050113SW005_02,2,0.063232,1998,Other,Snake River Basin/high Desert,Southern Forested Mountains,4281,Mountains,43.382037,-115.438001,FSBI(score),80
1998SBOIA019,23389357,South Fork Deer Creek,17050113,South Fork Boise,Southwest,ID17050113SW012_02,2,0.061677,1998,Other,Northern Rockies,Southern Forested Mountains,4482,Mountains,43.467732,-115.270638,FSBI(score),175
1998SBOIA020,23386605,Deer Creek,17050113,South Fork Boise,Southwest,ID17050113SW012_03,3,0.035604,1998,Other,Northern Rockies,Southern Forested Mountains,4301,Mountains,43.463524,-115.289463,FSBI(score),120
1998SBOIA021,23389677,Camp Creek,17050113,South Fork Boise,Southwest,ID17050113SW031_02,1,0.076898,1998,Other,Northern Rockies,Southern Forested Mountains,5282,Mountains,43.476333,-115.35821,FSBI(score),100
